model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-7B,cot,1,300,0.98,0.9633333333333334,0.9933333333333333,191.12,175.1175,206.27433333333335,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,cot,2,300,1.0,1.0,1.0,201.61333333333334,199.34983333333332,203.75666666666666,1.0,1.0,1.0
DeepSeek-R1-Distill-Qwen-7B,cot,4,300,0.9866666666666667,0.9733333333333334,0.9966666666666667,313.19,310.43966666666665,315.9334166666667,0.9911111111111113,0.98,0.9988888888888889
DeepSeek-R1-Distill-Qwen-7B,cot,8,300,0.9833333333333333,0.9666666666666667,0.9966666666666667,566.9933333333333,558.9755833333334,574.9201666666667,0.9957142857142858,0.9904761904761904,0.9995238095238096
DeepSeek-R1-Distill-Qwen-7B,cot,16,300,0.92,0.8899166666666667,0.95,1134.3766666666668,1117.3163333333332,1151.9550833333333,0.962873015873016,0.9452500000000001,0.9796996031746033
DeepSeek-R1-Distill-Qwen-7B,cot,32,300,0.85,0.8066666666666666,0.89,2009.99,1934.4615833333335,2090.1748333333335,0.94640569768879,0.9257195567826686,0.9643601190476192
DeepSeek-R1-Distill-Qwen-7B,cot,48,300,0.85,0.81,0.89,2798.0866666666666,2699.8807500000003,2902.479916666666,0.9263250486762926,0.9040210227915699,0.9483086065922439
DeepSeek-R1-Distill-Qwen-7B,direct,1,100,1.0,1.0,1.0,17.79,16.93,18.55,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,2,100,0.02,0.0,0.05,63.18,61.94,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,4,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,8,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,16,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,32,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,48,100,0.0,0.0,0.0,63.93,63.79,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,1,300,0.9966666666666667,0.99,1.0,131.04,127.8265,133.98,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,2,300,0.9966666666666667,0.99,1.0,207.52,205.5799166666667,209.50666666666666,0.9966666666666667,0.99,1.0
DeepSeek-R1-Distill-Qwen-7B,free,4,300,0.9933333333333333,0.9833333333333333,1.0,307.6566666666667,303.4331666666667,311.9869166666667,0.9933333333333333,0.9833333333333333,1.0
DeepSeek-R1-Distill-Qwen-7B,free,8,300,0.9733333333333334,0.9533333333333334,0.99,583.02,573.1054166666667,592.8236666666667,0.9933333333333333,0.9847619047619048,0.9990476190476191
DeepSeek-R1-Distill-Qwen-7B,free,16,300,0.9233333333333333,0.8933333333333333,0.9500833333333328,1099.44,1077.0762499999998,1121.3735833333333,0.9683076923076923,0.951861965811966,0.9833333333333333
DeepSeek-R1-Distill-Qwen-7B,free,32,300,0.86,0.82,0.8966666666666666,1678.2,1608.5488333333333,1754.6626666666666,0.9457267069230362,0.9253196611755566,0.96386917562724
DeepSeek-R1-Distill-Qwen-7B,free,48,300,0.81,0.7666666666666667,0.8533333333333334,2809.5666666666666,2671.0529166666665,2966.3599166666663,0.9280008192062827,0.9046204501656891,0.9481263821243507
