model,condition,difficulty,n,acc,acc_lo,acc_hi,tokens,tokens_lo,tokens_hi,ext_frac,ext_lo,ext_hi
DeepSeek-R1-Distill-Qwen-7B,cot,1,300,0.8433333333333334,0.8,0.8833333333333333,241.40666666666667,232.62791666666666,250.90358333333333,0.8843537414965986,0.8469387755102041,0.9183673469387755
DeepSeek-R1-Distill-Qwen-7B,cot,2,300,0.62,0.5633333333333334,0.6766666666666666,379.31,364.4545,395.0110833333333,0.7683333333333333,0.7249583333333333,0.8116666666666666
DeepSeek-R1-Distill-Qwen-7B,cot,3,300,0.6133333333333333,0.5566666666666666,0.6666666666666666,466.3666666666667,452.63991666666664,481.89758333333333,0.7394444444444443,0.695,0.7822222222222223
DeepSeek-R1-Distill-Qwen-7B,cot,4,300,0.5733333333333334,0.5133333333333333,0.63,556.9733333333334,543.00575,573.9339166666666,0.7080555555555555,0.6630555555555555,0.7505624999999999
DeepSeek-R1-Distill-Qwen-7B,cot,6,300,0.4766666666666667,0.42658333333333337,0.5366666666666666,873.76,826.3861666666667,924.3807499999999,0.6561666666666667,0.6164916666666667,0.7003375000000001
DeepSeek-R1-Distill-Qwen-7B,cot,8,300,0.69,0.64,0.74,1492.3433333333332,1413.3705833333331,1572.1938333333335,0.8076031746031747,0.7710872023809523,0.8439353174603174
DeepSeek-R1-Distill-Qwen-7B,cot,12,300,0.8866666666666667,0.85,0.92,2353.7166666666667,2269.740166666667,2440.4311666666663,0.9340098605098603,0.9095074705387205,0.9554819504569505
DeepSeek-R1-Distill-Qwen-7B,cot,16,300,0.9766666666666667,0.9566666666666667,0.9933333333333333,3088.3766666666666,2997.964916666667,3181.2214999999997,0.9909510489510489,0.9825372377622378,0.997561111111111
DeepSeek-R1-Distill-Qwen-7B,direct,1,100,0.19,0.12,0.27,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,2,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,3,100,0.02,0.0,0.05,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,4,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,6,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,8,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,12,100,0.0,0.0,0.0,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,direct,16,100,0.01,0.0,0.03,64.0,64.0,64.0,nan,nan,nan
DeepSeek-R1-Distill-Qwen-7B,free,1,300,0.9,0.8633333333333333,0.93,256.5366666666667,248.69983333333332,265.2538333333333,0.9047619047619048,0.8707482993197279,0.9387755102040817
DeepSeek-R1-Distill-Qwen-7B,free,2,300,0.6566666666666666,0.6,0.7133333333333334,401.42,382.8664166666667,421.2505,0.7833333333333333,0.7399583333333333,0.825
DeepSeek-R1-Distill-Qwen-7B,free,3,300,0.87,0.83,0.91,1376.49,1234.8845833333335,1529.4556666666667,0.9066666666666666,0.8755555555555556,0.9366666666666666
DeepSeek-R1-Distill-Qwen-7B,free,4,300,0.7766666666666666,0.73,0.8233333333333334,1097.2033333333334,979.791,1221.9448333333332,0.8499999999999999,0.816111111111111,0.885
DeepSeek-R1-Distill-Qwen-7B,free,6,300,0.9433333333333334,0.9166666666666666,0.9667499999999996,2034.1733333333334,1925.8043333333333,2147.6985833333333,0.9553333333333334,0.9336611111111112,0.9755555555555554
DeepSeek-R1-Distill-Qwen-7B,free,8,300,0.9533333333333334,0.93,0.9766666666666667,2309.423333333333,2215.8518333333336,2410.3802499999997,0.9665873015873016,0.9480912698412699,0.9842876984126984
DeepSeek-R1-Distill-Qwen-7B,free,12,300,0.9733333333333334,0.9533333333333334,0.99,3037.5333333333333,2942.2570833333334,3137.7331666666664,0.9902962962962963,0.9802962962962963,0.9981481481481482
DeepSeek-R1-Distill-Qwen-7B,free,16,300,0.97,0.95,0.9866666666666667,3648.1066666666666,3551.560916666667,3738.570666666667,0.9902744107744108,0.9810778198653198,0.9976888888888888
